"F [GHz]","Ldiff [] - $S='8um'","Ldiff [] - $S='11um'","Ldiff [] - $S='12um'","Ldiff [] - $S='14um'","Ldiff [] - $S='16um'","Qdiff [] - $S='8um'","Qdiff [] - $S='11um'","Qdiff [] - $S='12um'","Qdiff [] - $S='14um'","Qdiff [] - $S='16um'"
7.95,-25.1802659781935,37.3429537101977,27.1622901090544,18.087542580028,12.9824893336219,-3.15871944508005,1.70901870292192,2.70961266709974,4.25927244461344,6.00480175929921
8,-23.2547035579132,39.803421517388,28.96693123742,18.9060233829452,13.3716977529443,-3.45361164903232,1.45606132404967,2.46950865082019,4.03466287713285,5.79601713913084
8.05,-21.5667295933805,41.7391957870898,30.956395895364,19.8020134430712,13.7872287605339,-3.74757623545901,1.20322689071171,2.22944652344143,3.80990079038871,5.58704373776034
8.1,-20.0801428809457,42.2087357914427,33.1182773366324,20.7854311149526,14.2316920432293,-4.04053360144316,0.950565981386666,1.98947096073199,3.5850258955617,5.37791478125689
8.15,-18.7642299399959,39.4912725166383,35.3981191798131,21.8674152256406,14.7080303558513,-4.33240521145204,0.698128575310936,1.74962607121759,3.36007737349699,5.1686629384865
8.2,-17.5933556357102,31.1517689533033,37.6539675462153,23.0602252642603,15.2195683095135,-4.62311362167476,0.445964052544619,1.50995539938227,3.13509387932857,4.95932032920232
8.25,-16.5462548970789,15.592386860566,39.5693962291438,24.3768624265093,15.7700679080938,-4.91258250362992,0.194121194132987,1.27050192891919,2.91011354718685,4.74991853221028
8.3,-15.605302287641,-4.74179703621896,40.5005516893162,25.8301396135132,16.3637909626808,-5.20073666703338,-0.0573518176455132,1.03130808602196,2.68517399498074,4.54048859360116
8.35,-14.7558585488598,-23.2475850747734,39.2618561310499,27.4306850755669,17.005567789246,-5.48750208191763,-0.30840739895356,0.792415742707973,2.46031232924448,4.33106103503913
8.4,-13.9857197100393,-34.9860923392724,34.0242150949321,29.1829014282481,17.7008702143257,-5.77280589999378,-0.558998563999806,0.553866220165536,2.23556515004167,4.12166586209911
8.45,-13.2846655418013,-39.9678576692672,22.9351597707577,31.0770239532809,18.4558843806477,-6.05657647524806,-0.809078924581738,0.31570029211732,2.01096855591791,3.91233257264341
8.5,-12.6440943737657,-40.5969334431736,6.16028129485146,33.0737878157046,19.2775742890218,-6.33874338376449,-1.05860268957414,0.0779581881928771,1.78655814889463,3.70309016523081
8.55,-12.0567294255033,-39.0439942306133,-12.2917645979862,35.0753277492669,20.173718897691,-6.61923744276712,-1.30752466436959,-0.159320402696413,1.56236903949673,3.49396714754931
